"city","Can_P","holc_grade"
"Chicago",54.3722357004018,"B"
"Chicago",50.4222048240838,"B"
"Chicago",55.2757087159417,"B"
"Chicago",61.2512522840663,"B"
"Chicago",51.6420656264797,"B"
"Chicago",61.5772194633679,"B"
"Chicago",60.1570687309287,"B"
"Chicago",53.5186635695765,"B"
"Chicago",49.8441084863943,"B"
"Chicago",51.9318696826972,"B"
"Chicago",25.1549230029103,"B"
"Chicago",45.7277755517645,"B"
"Chicago",40.7997235487227,"B"
"Chicago",22.5243524414261,"B"
"Chicago",30.6764695604066,"B"
"Chicago",35.2478510515408,"B"
"Chicago",43.863416667149,"B"
"Chicago",55.0025180398255,"B"
"Chicago",49.4188098860098,"B"
"Chicago",58.6036628629554,"B"
"Chicago",58.1892065543711,"B"
"Chicago",53.6947855468381,"B"
"Chicago",40.3495544271141,"B"
"Chicago",47.5237075283742,"B"
"Chicago",32.4026005277222,"B"
"Chicago",40.6835883753485,"B"
"Chicago",32.171724304073,"B"
"Chicago",44.5657617190464,"B"
"Chicago",45.6467166652359,"B"
"Chicago",54.9645464462533,"B"
"Chicago",58.0744219930807,"B"
"Chicago",43.8785502177042,"B"
"Chicago",42.824754493942,"B"
"Chicago",28.4085633316791,"B"
"Chicago",29.6841003490928,"B"
"Chicago",31.8874570330014,"B"
"Chicago",51.2345083160912,"B"
"Chicago",78.7486736482746,"B"
"Chicago",62.1891095933329,"B"
"Chicago",28.2794766751316,"B"
"Chicago",38.3333832469827,"B"
"Chicago",61.2152324074056,"B"
"Chicago",22.4221535397309,"B"
"Chicago",29.6949287615125,"B"
"Chicago",28.7999756300869,"B"
"Chicago",21.320940614677,"B"
"Chicago",27.282989090626,"B"
"Chicago",27.0961133381854,"B"
"Chicago",23.3527194563755,"B"
"Chicago",35.4043137118799,"B"
"Chicago",40.8205538825741,"B"
"Chicago",29.30382168899,"B"
"Chicago",55.2033858605837,"B"
"Chicago",26.2156956298927,"B"
"Chicago",20.433826791981,"B"
"Chicago",28.9998667190009,"B"
"Chicago",25.5014050256001,"B"
"Chicago",29.764120407833,"B"
"Chicago",18.8043332887522,"B"
"Chicago",31.7961184521947,"B"
"Chicago",22.3604779718003,"B"
"Chicago",11.2873249907075,"B"
"Chicago",24.0803052824723,"B"
"Chicago",56.7604109926353,"B"
"Chicago",24.6935899361188,"B"
"Chicago",22.5393429226343,"B"
"Chicago",15.1540670207594,"B"
"Chicago",18.6239463943736,"B"
"Chicago",21.7231317612924,"B"
"Chicago",35.0845612860013,"B"
"Chicago",31.6521929573978,"B"
"Chicago",27.309324307471,"B"
"Chicago",31.5019337759302,"B"
"Chicago",31.6784765033265,"B"
"Chicago",63.8560860899501,"B"
"Chicago",58.0831796738664,"B"
"Chicago",51.9463433918495,"B"
"Chicago",42.3205926674832,"B"
"Chicago",36.7695082717495,"B"
"Chicago",46.5546731756901,"B"
"Chicago",19.9837929637324,"B"
"Chicago",11.5325567301865,"B"
"Chicago",17.92160640893,"B"
"Chicago",19.2968994766706,"B"
"Chicago",26.0876565949816,"B"
"Chicago",57.6601002363288,"C"
"Chicago",48.7727482154844,"C"
"Chicago",18.1609573614844,"C"
"Chicago",14.4311191305442,"C"
"Chicago",18.0493121296562,"C"
"Chicago",19.845178045248,"C"
"Chicago",24.9327634390926,"C"
"Chicago",23.5159171167428,"C"
"Chicago",21.5887912179726,"C"
"Chicago",20.1212180176126,"C"
"Chicago",28.8144173561139,"C"
"Chicago",21.8480308488443,"C"
"Chicago",44.9068144752662,"C"
"Chicago",13.9640403122744,"C"
"Chicago",18.1646252848683,"C"
"Chicago",17.6733100631822,"C"
"Chicago",17.9401047091473,"C"
"Chicago",17.3568318215114,"C"
"Chicago",19.0492378157876,"C"
"Chicago",24.6653631695001,"C"
"Chicago",15.3899466081339,"C"
"Chicago",25.4838692549889,"C"
"Chicago",20.3981901633781,"C"
"Chicago",42.4752151650507,"C"
"Chicago",22.4777196264633,"C"
"Chicago",22.315324023714,"C"
"Chicago",19.0903121583137,"C"
"Chicago",16.6817199445179,"C"
"Chicago",26.1033845997887,"C"
"Chicago",31.9447353801036,"C"
"Chicago",29.1127051468126,"C"
"Chicago",24.1366645136843,"C"
"Chicago",41.1476835792201,"C"
"Chicago",26.144738741727,"C"
"Chicago",37.681234485484,"C"
"Chicago",33.3554960092854,"C"
